127.0.0.1 - - [10/Jan/2017:11:37:57 +0000] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Jan/2017:11:38:05 +0000] "GET /FirstMVCProject/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [10/Jan/2017:11:38:37 +0000] "GET /FirstMVCProject/admissionForm7.html HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:12:24 +0000] "GET /FirstMVCProject/admissionForm7.html HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:12:47 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:12:59 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:16:57 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:17:01 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:17:04 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:17:12 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [10/Jan/2017:12:17:44 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 886
