127.0.0.1 - - [03/Jan/2017:10:14:27 +0000] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:14:34 +0000] "GET /FirstMVCProject/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:14:35 +0000] "GET /FirstMVCProject/welcome.html HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:27:56 +0000] "GET /FirstMVCProject/hi.html HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:27:59 +0000] "GET /FirstMVCProject/hi.html HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:31:32 +0000] "GET /FirstMVCProject/hi.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:31:40 +0000] "GET /FirstMVCProject/greet/hi.html HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:31:48 +0000] "GET /FirstMVCProject/greet/welcome.html HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:44:05 +0000] "GET /FirstMVCProject/greet/welcome.html HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:44:22 +0000] "GET /FirstMVCProject/greet/user/tontolone HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:44:34 +0000] "GET /FirstMVCProject/greet/welcome/user/tontolone HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:44:40 +0000] "GET /FirstMVCProject/greet/welcome/user/tontolone.html HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:47:08 +0000] "GET /FirstMVCProject/greet/welcome/user/tontolone.html HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:47:17 +0000] "GET /FirstMVCProject/greet/welcome/user/tontolone.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:47:28 +0000] "GET /FirstMVCProject/greet/welcome/user/tontolone.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:47:34 +0000] "GET /FirstMVCProject/greet/welcome/user/tontolone.html HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:47:47 +0000] "GET /FirstMVCProject/greet/welcome/user/tontolone.html HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [03/Jan/2017:10:49:23 +0000] "GET /FirstMVCProject/greet/welcome/user/BIBIONE.html HTTP/1.1" 200 185
