127.0.0.1 - - [26/Apr/2017:00:52:28 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:52 +0100] "GET /PlantPlacesYAP/ HTTP/1.1" 200 9705
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:53 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:53 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:53 +0100] "GET /PlantPlacesYAP/css/styles.css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:53 +0100] "GET /PlantPlacesYAP/css/print.css HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:53 +0100] "GET /PlantPlacesYAP/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:53 +0100] "GET /PlantPlacesYAP/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:53 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:54 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 53446
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:54 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 18839
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:54 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:54 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:52:54 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:18 +0100] "GET /PlantPlacesYAP/ HTTP/1.1" 200 9705
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:20 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:20 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:20 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:20 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:20 +0100] "GET /PlantPlacesYAP/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:21 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:21 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:21 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:22 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:22 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:43 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_50_4eb305_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:54:43 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-hard_30_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:20 +0100] "POST /PlantPlacesYAP/index.xhtml;jsessionid=97BA7D681147BE8C1BEF31B416107125 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:20 +0100] "POST /PlantPlacesYAP/index.xhtml;jsessionid=97BA7D681147BE8C1BEF31B416107125 HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:20 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_glass_55_fbf5d0_1x400.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:21 +0100] "POST /PlantPlacesYAP/index.xhtml;jsessionid=97BA7D681147BE8C1BEF31B416107125 HTTP/1.1" 200 5556
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:21 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:21 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:21 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:21 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:24 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_50_4eb305_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:25 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_glass_55_fbf5d0_1x400.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:25 +0100] "POST /PlantPlacesYAP/results.xhtml HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:26 +0100] "GET /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 13288
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:26 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:26 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:26 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:26 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:27 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:27 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:31 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:31 +0100] "GET /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 14820
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:31 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:31 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:31 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:55:31 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:56:16 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-hard_30_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:56:22 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 15357
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:56:22 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:56:22 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:56:22 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Apr/2017:00:56:22 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
