127.0.0.1 - - [21/Apr/2017:13:18:29 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:32 +0100] "POST /PlantPlacesYAP/results.xhtml HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 13241
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/images/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:33 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:36 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-hard_30_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 13986
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
